Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,Mr,0,10~20,1,0,~10$,S
1,2,Master,1,20~30,0,0,10~20$,S
1,3,Miss,0,20~30,0,0,~10$,S
1,1,Master,0,~10,0,2,50~100$,S
1,2,Miss,1,~10,0,1,10~20$,S
1,1,Mr,0,20~30,0,0,20~30$,S
1,3,Miss,1,~10,2,1,10~20$,C
1,1,Mr,0,40~50,0,0,30~50$,S
0,2,Mr,0,30~40,1,2,20~30$,S
0,3,Mr,0,20~30,1,0,10~20$,S
0,1,Mr,0,20~30,0,0,20~30$,C
1,1,Mr,0,40~50,1,0,50~100$,C
0,3,Mr,0,20~30,0,0,~10$,S
1,3,Mr,0,20~30,0,0,~10$,C
0,1,Mr,0,50~60,0,0,20~30$,S
1,1,Mrs,1,20~30,1,0,50~100$,S
1,2,Miss,1,40~50,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,Q
1,1,Mr,0,40~50,0,0,20~30$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,1,Mr,0,40~50,0,0,30~50$,S
0,2,Mr,0,40~50,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,30~40,0,0,~10$,S
0,2,Mr,0,20~30,0,0,~10$,S
0,1,Mr,0,50~60,0,0,20~30$,S
0,3,Mr,0,20~30,0,0,~10$,Q
1,3,Miss,1,~10,2,1,10~20$,C
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,30~40,0,0,~10$,S
1,2,Mrs,1,20~30,1,2,20~30$,S
1,2,Mrs,1,10~20,0,0,10~20$,C
0,3,Miss,1,10~20,0,0,~10$,S
0,1,Mr,0,20~30,0,0,50~100$,S
0,2,Mr,0,20~30,1,0,20~30$,S
0,3,Mr,0,20~30,1,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,3,Miss,1,~10,0,1,10~20$,S
0,3,Master,0,~10,5,2,30~50$,S
0,2,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,40~50,0,0,~10$,S
1,3,Mrs,1,50~60,0,0,~10$,S
1,1,Mr,0,10~20,1,0,50~100$,C
0,3,Miss,1,20~30,3,1,20~30$,S
1,1,Mrs,1,30~40,1,0,50~100$,S
0,1,Mr,0,50~60,0,0,20~30$,C
0,3,Mr,0,20~30,0,0,~10$,S
1,3,Master,0,~10,1,1,10~20$,S
0,3,Mr,0,20~30,1,0,10~20$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,1,Mr,0,50~60,0,0,30~50$,S
0,1,Mr,0,60~70,0,0,30~50$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,20~30,0,0,10~20$,C
1,1,Miss,1,40~50,1,0,50~100$,C
0,3,Mr,0,20~30,0,0,10~20$,S
0,1,Mrs,1,10~20,1,2,100~200$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Miss,1,10~20,0,0,~10$,Q
0,3,Miss,1,20~30,0,0,~10$,Q
0,3,Miss,1,30~40,0,0,~10$,S
1,1,Miss,1,10~20,0,0,50~100$,S
0,1,Mr,0,10~20,1,0,100~200$,C
1,2,Mrs,1,20~30,0,2,20~30$,S
1,1,Mr,0,20~30,0,0,20~30$,S
0,3,Mr,0,20~30,0,0,20~30$,S
1,3,Mr,0,20~30,0,0,50~100$,S
1,3,Mr,0,20~30,0,0,~10$,Q
0,3,Mr,0,20~30,0,0,~10$,S
1,1,Mr,0,30~40,0,0,20~30$,S
1,1,Mrs,1,40~50,1,0,50~100$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,1,Mr,0,40~50,0,0,30~50$,S
1,2,Mrs,1,20~30,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,20~30$,Q
1,2,Mrs,1,30~40,1,0,20~30$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,1,Miss,1,20~30,0,0,50~100$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,C
1,1,Mrs,1,30~40,0,1,50~100$,C
0,3,Mr,0,20~30,0,0,~10$,C
0,3,Mr,0,30~40,0,0,~10$,Q
1,2,Miss,1,40~50,0,0,10~20$,S
0,1,Mr,0,20~30,0,0,200$~,S
0,3,Mr,0,30~40,0,0,~10$,S
0,2,Mr,0,10~20,2,1,10~20$,S
1,2,Miss,1,~10,1,1,20~30$,S
0,3,Mr,0,20~30,0,0,~10$,C
0,3,Mr,0,10~20,1,1,~10$,C
1,3,Mrs,1,20~30,0,2,20~30$,C
0,3,Miss,1,20~30,0,0,~10$,S
1,2,Miss,1,~10,0,2,20~30$,S
0,1,Mr,0,30~40,0,0,20~30$,S
1,1,Miss,1,20~30,0,0,100~200$,C
0,3,Mr,0,20~30,0,0,10~20$,S
1,1,Miss,1,10~20,0,2,30~50$,C
1,1,Miss,1,30~40,0,2,50~100$,S
0,3,Miss,1,~10,4,2,30~50$,S
0,3,Miss,1,~10,4,2,30~50$,S
1,2,Mr,0,20~30,1,0,20~30$,S
0,1,Mr,0,40~50,1,0,100~200$,C
0,1,Mr,0,50~60,0,0,20~30$,S
1,2,Mrs,1,10~20,1,0,20~30$,S
1,2,Dr,0,20~30,0,0,10~20$,C
0,3,Mr,0,20~30,1,1,20~30$,S
1,2,Master,0,~10,1,1,30~50$,S
1,1,Mr,0,10~20,0,2,100~200$,C
0,2,Mr,0,20~30,0,0,20~30$,S
0,3,Mr,0,20~30,0,0,~10$,Q
1,3,Mr,0,10~20,0,0,~10$,C
1,3,Miss,1,10~20,0,0,~10$,S
0,1,Mr,0,50~60,0,0,20~30$,S
1,1,Mrs,1,40~50,1,0,30~50$,C
0,1,Mr,0,20~30,0,0,200$~,C
1,1,Mrs,1,30~40,1,1,50~100$,S
1,3,Mrs,1,30~40,1,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,Q
0,3,Mr,0,30~40,0,0,~10$,S
0,2,Mr,0,20~30,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Miss,1,20~30,0,0,~10$,S
0,3,Mr,0,10~20,2,0,20~30$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mrs,1,20~30,0,4,20~30$,S
0,3,Mr,0,20~30,0,0,~10$,C
1,3,Mr,0,20~30,0,0,~10$,S
1,2,Mr,0,50~60,0,0,10~20$,S
1,1,Mrs,1,40~50,2,0,50~100$,S
1,1,Mr,0,30~40,0,0,20~30$,S
1,3,Miss,1,20~30,0,0,~10$,Q
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,10~20,0,0,10~20$,S
1,2,Miss,1,20~30,0,0,10~20$,S
1,1,Mrs,1,30~40,1,0,50~100$,S
0,3,Mrs,1,20~30,1,0,10~20$,C
1,3,Mr,0,20~30,0,0,~10$,S
1,2,Miss,1,10~20,1,1,20~30$,S
1,1,Mrs,1,30~40,1,1,100~200$,C
0,2,Mr,0,40~50,0,0,20~30$,S
0,1,Mr,0,30~40,0,0,30~50$,C
0,3,Mr,0,20~30,0,0,~10$,C
1,1,Miss,1,10~20,0,2,50~100$,S
0,2,Mr,0,40~50,0,0,10~20$,S
1,1,Mr,0,50~60,1,1,50~100$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,30~40,0,0,~10$,S
1,1,Mrs,1,40~50,1,0,50~100$,C
0,3,Mr,0,40~50,0,0,~10$,S
0,3,Miss,1,20~30,0,2,~10$,Q
0,2,Mr,0,30~40,1,0,20~30$,S
0,3,Mr,0,30~40,1,1,20~30$,S
1,2,Miss,1,20~30,0,0,30~50$,S
0,3,Mr,0,40~50,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,C
1,1,Mr,0,40~50,1,0,50~100$,C
1,2,Mrs,1,10~20,2,1,20~30$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,1,Mr,0,20~30,0,0,30~50$,S
0,3,Mr,0,30~40,0,0,~10$,S
1,1,Mr,0,30~40,0,0,20~30$,C
0,3,Mr,0,30~40,1,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,1,Mr,0,20~30,0,0,30~50$,S
1,2,Mrs,1,10~20,1,2,30~50$,C
1,1,Miss,1,30~40,0,0,100~200$,S
0,3,Mrs,1,30~40,1,5,30~50$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,3,Miss,1,20~30,1,0,10~20$,Q
0,3,Mr,0,20~30,0,0,~10$,Q
0,3,Mr,0,30~40,0,0,~10$,S
1,2,Miss,1,10~20,1,2,50~100$,S
0,3,Mr,0,20~30,1,1,10~20$,S
0,3,Mrs,1,20~30,1,0,10~20$,S
1,2,Miss,1,~10,2,1,30~50$,S
0,2,Mr,0,20~30,0,0,10~20$,S
0,3,Mr,0,20~30,1,0,10~20$,C
1,1,Mr,0,30~40,1,0,50~100$,S
1,3,Mr,0,10~20,1,1,10~20$,C
0,3,Master,0,10~20,0,0,~10$,S
0,3,Mr,0,10~20,0,0,10~20$,S
0,1,Mr,0,50~60,0,0,30~50$,S
0,2,Rev,0,50~60,0,0,10~20$,Q
1,1,Miss,1,10~20,0,0,50~100$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,Q
1,1,Mr,0,70~80,0,0,20~30$,S
0,3,Mr,0,40~50,0,0,~10$,S
1,1,Dr,0,20~30,0,0,30~50$,C
0,1,Mr,0,20~30,0,0,~10$,S
0,3,Miss,1,~10,3,2,20~30$,S
1,2,Miss,1,20~30,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,2,Mr,0,20~30,1,1,20~30$,S
0,3,Mrs,1,30~40,0,5,30~50$,S
0,3,Mr,0,20~30,1,0,10~20$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,1,Miss,1,10~20,0,0,50~100$,C
0,3,Miss,1,~10,3,2,20~30$,S
1,3,Mr,0,20~30,0,0,50~100$,S
1,3,Miss,1,~10,2,1,10~20$,C
1,1,Mr,0,40~50,1,0,50~100$,C
0,3,Mr,0,10~20,0,0,~10$,S
1,1,Mr,0,50~60,0,0,30~50$,C
0,3,Mr,0,20~30,0,0,~10$,S
1,3,Miss,1,10~20,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,2,Miss,1,10~20,0,1,20~30$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,3,Miss,1,20~30,0,0,~10$,Q
0,3,Miss,1,10~20,0,0,~10$,Q
0,2,Mr,0,10~20,2,0,50~100$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mrs,1,20~30,1,1,10~20$,Q
0,2,Mr,0,10~20,0,0,10~20$,S
0,1,Mr,0,50~60,0,2,100~200$,C
1,1,Dr,0,40~50,2,0,100~200$,S
0,3,Mr,0,30~40,0,0,~10$,C
0,1,Mr,0,40~50,0,0,20~30$,S
0,3,Mr,0,30~40,0,0,~10$,S
1,3,Mr,0,10~20,1,0,~10$,S
0,2,Mr,0,20~30,2,0,50~100$,S
0,2,Mr,0,10~20,0,0,10~20$,S
0,3,Miss,0,20~30,0,0,~10$,S
0,3,Mr,0,30~40,0,0,~10$,S
1,1,Mrs,1,20~30,1,0,50~100$,S
1,2,Mrs,1,30~40,1,1,30~50$,S
0,1,Mr,0,20~30,1,0,50~100$,S
0,2,Mr,0,60~70,0,0,10~20$,S
1,2,Master,0,20~30,0,0,10~20$,S
0,2,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,3,Miss,1,10~20,0,0,~10$,S
0,3,Mrs,1,30~40,1,6,30~50$,S
1,1,Dr,0,30~40,0,1,200$~,C
0,3,Miss,1,20~30,0,0,~10$,Q
1,1,Mr,0,20~30,0,0,50~100$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,~10,5,2,30~50$,S
0,2,Mr,0,50~60,1,1,30~50$,S
0,2,Mr,0,10~20,1,2,30~50$,C
0,3,Mr,0,~10,4,1,30~50$,S
0,3,Mr,0,10~20,0,0,10~20$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,1,Miss,1,10~20,0,1,200$~,S
1,1,Dr,0,20~30,1,0,50~100$,S
1,3,Miss,1,~10,0,1,10~20$,C
1,3,Mr,0,20~30,0,0,50~100$,S
0,3,Mr,0,10~20,0,0,~10$,C
0,1,Mr,0,50~60,0,0,20~30$,S
0,2,Mr,0,40~50,0,0,10~20$,S
0,3,Mr,0,30~40,0,0,~10$,S
1,3,Miss,1,20~30,0,0,~10$,Q
0,1,Mr,0,40~50,1,1,100~200$,C
0,3,Mr,0,30~40,0,0,~10$,S
1,1,Mrs,1,10~20,1,0,200$~,C
1,1,Mr,0,30~40,0,0,20~30$,S
0,3,Miss,1,10~20,0,1,10~20$,C
0,3,Mr,0,10~20,0,0,~10$,Q
0,3,Mr,0,20~30,1,0,~10$,S
0,2,Mr,0,30~40,0,0,20~30$,S
1,2,Mrs,1,30~40,0,0,10~20$,S
1,1,Mr,0,30~40,0,0,20~30$,S
1,1,Miss,1,10~20,0,0,100~200$,S
1,3,Master,0,20~30,1,1,10~20$,C
1,1,Mrs,1,10~20,0,0,30~50$,C
0,1,Mr,0,20~30,0,0,20~30$,S
1,1,Mr,0,40~50,1,0,50~100$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,2,Mr,0,40~50,0,0,10~20$,S
0,3,Dr,0,10~20,0,0,~10$,S
1,1,Miss,1,30~40,0,0,200$~,C
1,2,Miss,1,20~30,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,10~20$,Q
0,3,Mr,0,20~30,0,0,~10$,S
1,2,Miss,1,~10,0,1,30~50$,S
0,3,Mr,0,10~20,1,0,~10$,S
0,2,Mr,0,20~30,0,0,10~20$,S
0,2,Mr,0,40~50,0,0,10~20$,S
1,1,Mr,0,20~30,1,0,50~100$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,2,Mrs,1,20~30,3,0,20~30$,S
1,3,Miss,1,20~30,0,0,~10$,Q
0,2,Mr,0,10~20,1,0,20~30$,S
0,3,Miss,1,10~20,1,0,~10$,S
1,1,Miss,1,20~30,0,0,200$~,S
0,3,Mr,0,~10,0,0,10~20$,C
0,2,Mr,0,20~30,0,0,~10$,S
0,2,Mr,0,10~20,0,0,10~20$,S
0,2,Mr,0,10~20,0,0,10~20$,S
0,3,Master,0,20~30,0,0,10~20$,S
0,3,Mrs,1,40~50,1,3,30~50$,S
1,1,Mr,0,30~40,0,0,200$~,C
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,1,Mr,0,20~30,0,0,20~30$,S
0,1,Mr,0,30~40,1,0,50~100$,S
1,1,Miss,1,10~20,2,2,200$~,C
0,3,Mr,0,10~20,1,0,10~20$,S
1,3,Mr,0,20~30,0,0,~10$,S
0,1,Mr,0,60~70,1,1,50~100$,S
0,3,Mr,0,10~20,1,1,20~30$,S
1,2,Miss,1,20~30,0,0,10~20$,S
0,1,Mr,0,10~20,1,0,50~100$,S
0,3,Mr,0,20~30,0,0,~10$,Q
1,2,Miss,1,~10,1,1,20~30$,S
1,3,Master,0,~10,0,1,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,2,Mrs,1,40~50,1,2,50~100$,S
1,2,Master,0,~10,1,1,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,2,Dr,0,10~20,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,1,Miss,1,20~30,0,0,50~100$,S
0,3,Mr,0,20~30,0,0,10~20$,S
0,3,Mr,0,30~40,0,0,~10$,S
1,3,Mr,0,10~20,0,0,~10$,C
1,1,Mrs,1,30~40,1,2,100~200$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,1,Mrs,1,40~50,1,0,50~100$,S
0,1,Dr,0,20~30,0,0,30~50$,C
0,3,Miss,1,20~30,0,0,~10$,Q
0,3,Mr,0,20~30,1,0,20~30$,Q
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,40~50,0,0,~10$,S
0,2,Mrs,1,50~60,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,C
1,2,Mrs,1,40~50,1,3,20~30$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,Q
1,3,Miss,1,~10,0,0,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,Q
1,1,Mrs,1,30~40,0,1,200$~,S
1,3,Miss,1,~10,0,0,~10$,C
1,1,Mrs,1,10~20,1,0,50~100$,S
0,1,Mr,0,20~30,0,0,20~30$,S
0,3,Dr,0,20~30,1,2,20~30$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,3,Miss,1,10~20,0,0,~10$,S
0,3,Master,0,~10,4,1,20~30$,Q
1,3,Master,0,~10,1,2,20~30$,S
0,1,Mr,0,40~50,0,0,50~100$,C
0,3,Dr,0,20~30,0,0,~10$,Q
0,2,Mr,0,10~20,0,0,20~30$,S
0,3,Miss,1,20~30,8,2,50~100$,S
0,1,Mr,0,20~30,0,0,30~50$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,2,Mr,0,30~40,0,0,10~20$,S
1,1,Dr,1,40~50,0,0,20~30$,S
1,3,Mrs,1,20~30,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,C
0,3,Mrs,1,20~30,1,1,20~30$,S
0,2,Mr,0,20~30,0,0,10~20$,S
1,2,Mrs,1,20~30,1,1,20~30$,S
1,1,Master,0,~10,1,2,100~200$,S
1,3,Master,0,~10,0,1,~10$,C
1,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,1,Dr,0,30~40,0,0,~10$,S
0,3,Miss,1,10~20,0,0,~10$,S
0,2,Mr,0,30~40,0,0,10~20$,S
1,1,Mrs,1,20~30,1,0,50~100$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,30~40,0,0,20~30$,S
0,2,Mr,0,30~40,0,0,10~20$,S
0,3,Miss,1,~10,4,2,30~50$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,1,Mr,0,20~30,0,0,~10$,S
0,3,Miss,1,10~20,0,0,~10$,S
0,2,Mr,0,20~30,1,1,30~50$,C
0,3,Dr,0,30~40,0,0,~10$,S
0,3,Master,0,~10,3,2,20~30$,S
1,1,Mrs,1,40~50,1,1,50~100$,S
1,3,Mr,0,20~30,0,0,~10$,S
0,1,Mr,0,30~40,0,0,~10$,S
1,3,Mrs,1,20~30,0,1,10~20$,S
0,3,Master,0,~10,4,1,30~50$,S
0,3,Mr,0,20~30,0,0,~10$,Q
0,3,Mr,0,20~30,0,0,50~100$,S
1,2,Master,0,~10,0,2,30~50$,C
1,3,Mr,0,20~30,0,0,~10$,Q
1,3,Mrs,1,10~20,1,0,10~20$,C
1,2,Master,0,~10,1,1,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
1,1,Miss,1,30~40,1,1,50~100$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,3,Mr,0,20~30,0,0,50~100$,S
1,1,Mr,0,20~30,0,0,20~30$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,2,Mr,0,10~20,0,0,10~20$,S
1,1,Miss,1,20~30,0,0,30~50$,C
0,3,Mr,0,20~30,0,0,~10$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,30~40,0,0,~10$,S
0,3,Mr,0,20~30,8,2,50~100$,S
0,3,Mr,0,30~40,0,0,~10$,C
0,2,Rev,0,20~30,0,1,30~50$,S
1,1,Mrs,1,20~30,1,0,50~100$,C
0,3,Master,0,~10,4,2,30~50$,S
0,3,Mr,0,60~70,0,0,~10$,S
0,3,Miss,1,~10,1,1,10~20$,C
1,1,Miss,1,10~20,0,1,30~50$,S
0,2,Mrs,1,30~40,1,0,20~30$,S
1,3,Mrs,1,10~20,0,1,~10$,S
1,1,Mrs,1,30~40,1,1,100~200$,S
1,1,Mr,0,40~50,0,0,20~30$,S
1,3,Mrs,1,10~20,0,3,10~20$,C
0,3,Mr,0,20~30,0,0,~10$,C
0,3,Mr,0,30~40,2,0,10~20$,S
0,2,Mr,0,10~20,1,0,10~20$,S
1,1,Mrs,1,40~50,0,0,20~30$,S
0,3,Miss,1,20~30,8,2,50~100$,S
0,2,Mr,0,10~20,0,0,10~20$,S
1,2,Mrs,1,30~40,0,0,10~20$,S
1,2,Miss,1,20~30,1,0,10~20$,C
0,1,Mr,0,20~30,0,0,50~100$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,3,Master,0,~10,1,1,10~20$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,1,Mrs,1,40~50,1,1,50~100$,S
0,1,Mr,0,20~30,0,0,~10$,S
0,3,Mr,0,40~50,0,0,~10$,S
1,2,Mrs,1,20~30,1,0,20~30$,C
1,3,Miss,1,10~20,0,0,~10$,C
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mr,0,20~30,0,0,~10$,S
1,1,Mrs,1,50~60,0,1,50~100$,C
1,2,Mrs,1,10~20,0,1,20~30$,S
0,3,Mr,0,20~30,0,0,~10$,S
0,3,Miss,1,10~20,0,0,10~20$,S
0,2,Mr,0,20~30,0,0,10~20$,S
0,3,Mr,0,10~20,0,0,~10$,S
0,3,Mrs,1,30~40,0,5,20~30$,Q
0,2,Rev,0,20~30,0,0,10~20$,S
1,1,Miss,1,10~20,0,0,20~30$,S
0,3,Miss,1,20~30,1,2,20~30$,S
1,1,Mr,0,20~30,0,0,20~30$,C
0,3,Mr,0,20~30,0,0,~10$,Q
